loanID,applicantIncome,coapplicantIncome,loanAmount,loanAmountTerm,satisfactoryCreditHistory,totalIncome,applicantIncomeLog,coapplicantIncomeLog,loanAmountLog,loanAmountTermLog,totalIncomeLog,isMale,isMarried,has1Dependent,has2Dependents,has3+Dependents,hasNotGraduated,isSelfEmployed,livesSemiurbal,livesUrban,outcome
LP001002,5849,0.0,142.51153039832286,360.0,1.0,5849.0,8.674025985443025,-2.3025850929940455,4.959422911511207,5.886104031450156,8.674025985443025,1,0,0,0,0,0,0,0,1,1
LP001003,4583,1508.0,128.0,360.0,1.0,6091.0,8.430109084509125,7.318539548567902,4.852030263919617,5.886104031450156,8.714567550836485,1,1,1,0,0,0,0,0,0,0
LP001005,3000,0.0,66.0,360.0,1.0,3000.0,8.006367567650246,-2.3025850929940455,4.189654742026425,5.886104031450156,8.006367567650246,1,1,0,0,0,0,1,0,1,1
LP001006,2583,2358.0,120.0,360.0,1.0,4941.0,7.8567067930958405,7.765569081097317,4.787491742782046,5.886104031450156,8.50532301884575,1,1,0,0,0,1,0,0,1,1
LP001008,6000,0.0,141.0,360.0,1.0,6000.0,8.699514748210191,-2.3025850929940455,4.948759890378168,5.886104031450156,8.699514748210191,1,0,0,0,0,0,0,0,1,1
LP001011,5417,4196.0,267.0,360.0,1.0,9613.0,8.597297435657898,8.341886969516187,5.58724865840025,5.886104031450156,9.170871628065816,1,1,0,1,0,0,1,0,1,1
LP001013,2333,1516.0,95.0,360.0,1.0,3849.0,7.75491027202143,7.323830566202317,4.553876891600541,5.886104031450156,8.255568653283746,1,1,0,0,0,1,0,0,1,1
LP001014,3036,2504.0,158.0,360.0,0.0,5540.0,8.01829613851552,7.825644732219989,5.062595033026967,5.886104031450156,8.61974977974133,1,1,0,0,1,0,0,1,0,0
LP001018,4006,1526.0,168.0,360.0,1.0,5532.0,8.295548516225763,7.330405211844402,5.123963979403259,5.886104031450156,8.61830469278465,1,1,0,1,0,0,0,0,1,1
LP001020,12841,10968.0,349.0,360.0,1.0,23809.0,9.460398455831275,9.30273722124215,5.855071922202427,5.886104031450156,10.077818939438902,1,1,1,0,0,0,0,1,0,0
LP001024,3200,700.0,70.0,360.0,1.0,3900.0,8.070906088787819,6.551080335043404,4.248495242049359,5.886104031450156,8.268731832117737,1,1,0,1,0,0,0,0,1,1
LP001027,2500,1840.0,109.0,360.0,1.0,4340.0,7.824046010856292,7.517520850603031,4.6913478822291435,5.886104031450156,8.375629627094451,1,1,0,1,0,0,0,0,1,1
